moreno_blogs DISABLED, EDGE_ONLY, ENABLED, 18, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.21222472190856934, 0.000273
opsahl-usairport DISABLED, EDGE_ONLY, ENABLED, 18, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.20234107971191406, 0.000242
patentcite DISABLED, EDGE_ONLY, ENABLED, 18, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.6972956657409668, 0.002901
petster-friendships-dog DISABLED, EDGE_ONLY, ENABLED, 18, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.4258582592010498, 0.000823
roadNet-CA DISABLED, EDGE_ONLY, ENABLED, 18, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.32206106185913086, 0.001843
subelj_cora DISABLED, EDGE_ONLY, ENABLED, 18, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.20569443702697754, 0.000289
sx-mathoverflow DISABLED, EDGE_ONLY, ENABLED, 18, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.20970773696899414, 0.000188
youtube-groupmemberships DISABLED, EDGE_ONLY, ENABLED, 18, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.2165980339050293, 0.00021
sx-stackoverflow DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, FUSED, BITMAP, 5.811803817749023, 0.038945
dblp-cite DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, FUSED, BITMAP, 0.19749164581298828, 0.000584
dbpedia-team DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, FUSED, BITMAP, 0.287595272064209, 0.005888
dimacs9-E DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, FUSED, BITMAP, 0.501692533493042, 0.003816
douban DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, FUSED, BITMAP, 0.18954706192016602, 0.000346
facebook-wosn-wall DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, FUSED, BITMAP, 0.17800617218017578, 0.000585
github DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, FUSED, BITMAP, 0.22979354858398438, 0.003898
komarix-imdb DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, FUSED, BITMAP, 0.3355841636657715, 0.002703
moreno_blogs DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, FUSED, BITMAP, 0.17142987251281738, 0.000543
opsahl-usairport DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, FUSED, BITMAP, 0.17142796516418457, 0.000496
patentcite DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, FUSED, BITMAP, 2.5104289054870605, 0.008029
petster-friendships-dog DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, FUSED, BITMAP, 1.1916553974151611, 0.06263
roadNet-CA DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, FUSED, BITMAP, 0.32690000534057617, 0.002265
subelj_cora DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, FUSED, BITMAP, 0.17818236351013184, 0.000837
sx-mathoverflow DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, FUSED, BITMAP, 0.1888291835784912, 0.00138
youtube-groupmemberships DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, FUSED, BITMAP, 0.2821385860443115, 0.009917
sx-stackoverflow DISABLED, TWCE, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BOOLMAP, 5.55347466468811, 0.009906
dblp-cite DISABLED, TWCE, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BOOLMAP, 0.1916038990020752, 0.000323
dbpedia-team DISABLED, TWCE, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BOOLMAP, 0.2379772663116455, 0.000979
dimacs9-E DISABLED, TWCE, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BOOLMAP, 0.5213170051574707, 0.006202
douban DISABLED, TWCE, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BOOLMAP, 0.18669700622558594, 0.000331
facebook-wosn-wall DISABLED, TWCE, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BOOLMAP, 0.17700695991516113, 0.000383
github DISABLED, TWCE, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BOOLMAP, 0.1938035488128662, 0.000328
komarix-imdb DISABLED, TWCE, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BOOLMAP, 0.31887340545654297, 0.000749
moreno_blogs DISABLED, TWCE, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BOOLMAP, 0.15928912162780762, 0.000317
opsahl-usairport DISABLED, TWCE, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BOOLMAP, 0.16797685623168945, 0.00022
patentcite DISABLED, TWCE, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BOOLMAP, 2.5122385025024414, 0.008589
petster-friendships-dog DISABLED, TWCE, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BOOLMAP, 0.5713484287261963, 0.001966
roadNet-CA DISABLED, TWCE, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BOOLMAP, 0.3133571147918701, 0.003397
subelj_cora DISABLED, TWCE, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BOOLMAP, 0.1696910858154297, 0.000339
