sx-stackoverflow ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 1.8348331451416016, 0.028929
dblp-cite ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 0.45514559745788574, 0.000345
dbpedia-team ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 0.797884464263916, 0.003346
dimacs9-E ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 1.1419973373413086, 0.035856
douban ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 0.3727707862854004, 0.000452
facebook-wosn-wall ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 0.6299750804901123, 0.000459
github ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 0.5421333312988281, 0.000676
komarix-imdb ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 0.6159543991088867, 0.002316
moreno_blogs ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 0.4290182590484619, 0.00034
opsahl-usairport ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 0.6642720699310303, 0.000362
patentcite ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 1.2603158950805664, 0.015666
petster-friendships-dog ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 0.9599900245666504, 0.009005
roadNet-CA ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 0.9739735126495361, 0.014061
subelj_cora ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 0.5036463737487793, 0.000365
sx-mathoverflow ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 0.5196664333343506, 0.000586
youtube-groupmemberships ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, DISABLED, FUSED, None, 0.8754701614379883, 0.000816
sx-stackoverflow ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 2.7845799922943115, 0.185756
dblp-cite ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.5087862014770508, 0.000305
dbpedia-team ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.48938941955566406, 0.003384
dimacs9-E ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.7266213893890381, 0.009001
douban ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.4477684497833252, 0.000421
facebook-wosn-wall ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.37096643447875977, 0.000409
github ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.34738826751708984, 0.000623
komarix-imdb ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.5616209506988525, 0.002238
moreno_blogs ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.31966614723205566, 0.000303
opsahl-usairport ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.35112500190734863, 0.000352
patentcite ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 1.7894797325134277, 0.101139
petster-friendships-dog ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.8122715950012207, 0.008408
roadNet-CA ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.5242505073547363, 0.004194
subelj_cora ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.38898229598999023, 0.000332
sx-mathoverflow ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.3584885597229004, 0.000466
youtube-groupmemberships ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.37023496627807617, 0.000768
sx-stackoverflow ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 7.092714786529541, 0.053091
dblp-cite ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.5162997245788574, 0.000698
dbpedia-team ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.936490535736084, 0.029033
dimacs9-E ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.9850671291351318, 0.008101
douban ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.4580519199371338, 0.000766
facebook-wosn-wall ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.6385247707366943, 0.000659
