dimacs9-E ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 3.6556921005249023, 0.283166
douban ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.7236847877502441, 0.001565
facebook-wosn-wall ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.31244969367980957, 7.1e-05
github ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.4373655319213867, 0.003833
komarix-imdb ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.6082086563110352, 0.00515
moreno_blogs ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.5572021007537842, 0.000484
opsahl-usairport ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.27806735038757324, 0.000618
patentcite ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.5115845203399658, 0.000154
petster-friendships-dog ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.48194408416748047, 7.1e-05
roadNet-CA ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.537980318069458, 0.000686
subelj_cora ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.37354350090026855, 0.001089
sx-mathoverflow ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.5019059181213379, 0.002802
youtube-groupmemberships ENABLED, EDGE_ONLY, DISABLED, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.49562549591064453, 0.002533
sx-stackoverflow ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 6.266041278839111, 0.041047
dblp-cite ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.44426894187927246, 0.000784
dbpedia-team ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.36802196502685547, 0.000372
dimacs9-E ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 13.454002141952515, 1.2731
douban ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.46132469177246094, 0.000139
facebook-wosn-wall ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.3380146026611328, 8.3e-05
github ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.3622713088989258, 0.000198
komarix-imdb ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.5317447185516357, 0.001676
moreno_blogs ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BOOLMAP, 0.3447709083557129, 0.000333
