opsahl-usairport DensePull, serial, boolean-array, false, 6, 0.03955864906311035
patentcite DensePull, serial, boolean-array, false, 6, 1.8362364768981934
petster-friendships-dog DensePull, serial, boolean-array, false, 6, 0.21852636337280273
roadNet-CA DensePull, serial, boolean-array, false, 6, 0.30036449432373047
subelj_cora DensePull, serial, boolean-array, false, 6, 0.0661013126373291
sx-mathoverflow DensePull, serial, boolean-array, false, 6, 0.04150819778442383
youtube-groupmemberships DensePull, serial, boolean-array, false, 6, 0.049379587173461914
sx-stackoverflow DensePull, serial, boolean-array, false, 8, 1.5937280654907227
dblp-cite DensePull, serial, boolean-array, false, 8, 0.053009033203125
dbpedia-team DensePull, serial, boolean-array, false, 8, 0.07135224342346191
dimacs9-E DensePull, serial, boolean-array, false, 8, 150.87380480766296
douban DensePull, serial, boolean-array, false, 8, 0.0521395206451416
facebook-wosn-wall DensePull, serial, boolean-array, false, 8, 0.04742932319641113
github DensePull, serial, boolean-array, false, 8, 0.0676889419555664
komarix-imdb DensePull, serial, boolean-array, false, 8, 0.2288811206817627
moreno_blogs DensePull, serial, boolean-array, false, 8, 0.04850268363952637
opsahl-usairport DensePull, serial, boolean-array, false, 8, 0.02946758270263672
patentcite DensePull, serial, boolean-array, false, 8, 1.6544933319091797
petster-friendships-dog DensePull, serial, boolean-array, false, 8, 0.23482275009155273
roadNet-CA DensePull, serial, boolean-array, false, 8, 0.33798646926879883
subelj_cora DensePull, serial, boolean-array, false, 8, 0.056983232498168945
sx-mathoverflow DensePull, serial, boolean-array, false, 8, 0.040367841720581055
youtube-groupmemberships DensePull, serial, boolean-array, false, 8, 0.05962824821472168
sx-stackoverflow DensePull, serial, boolean-array, false, 10, 1.6456778049468994
dblp-cite DensePull, serial, boolean-array, false, 10, 0.04230046272277832
dbpedia-team DensePull, serial, boolean-array, false, 10, 0.08190774917602539
dimacs9-E DensePull, serial, boolean-array, false, 10, 155.97308945655823
douban DensePull, serial, boolean-array, false, 10, 0.05395340919494629
facebook-wosn-wall DensePull, serial, boolean-array, false, 10, 0.05044698715209961
github DensePull, serial, boolean-array, false, 10, 0.06199169158935547
komarix-imdb DensePull, serial, boolean-array, false, 10, 0.42906618118286133
moreno_blogs DensePull, serial, boolean-array, false, 10, 0.22968792915344238
opsahl-usairport DensePull, serial, boolean-array, false, 10, 0.039507389068603516
patentcite DensePull, serial, boolean-array, false, 10, 1.7650015354156494
petster-friendships-dog DensePull, serial, boolean-array, false, 10, 0.20878982543945312
roadNet-CA DensePull, serial, boolean-array, false, 10, 0.2856311798095703
subelj_cora DensePull, serial, boolean-array, false, 10, 0.058274269104003906
sx-mathoverflow DensePull, serial, boolean-array, false, 10, 0.03798222541809082
youtube-groupmemberships DensePull, serial, boolean-array, false, 10, 0.1903986930847168
sx-stackoverflow DensePull, serial, boolean-array, false, 12, 1.7092502117156982
dblp-cite DensePull, serial, boolean-array, false, 12, 0.04686617851257324
dbpedia-team DensePull, serial, boolean-array, false, 12, 0.07115936279296875
dimacs9-E DensePull, serial, boolean-array, false, 12, 157.99757599830627
douban DensePull, serial, boolean-array, false, 12, 0.056095123291015625
facebook-wosn-wall DensePull, serial, boolean-array, false, 12, 0.05200600624084473
github DensePull, serial, boolean-array, false, 12, 0.06409168243408203
komarix-imdb DensePull, serial, boolean-array, false, 12, 0.42595911026000977
moreno_blogs DensePull, serial, boolean-array, false, 12, 0.03793144226074219
opsahl-usairport DensePull, serial, boolean-array, false, 12, 0.03166055679321289
patentcite DensePull, serial, boolean-array, false, 12, 1.8477880954742432
petster-friendships-dog DensePull, serial, boolean-array, false, 12, 0.2130739688873291
roadNet-CA DensePull, serial, boolean-array, false, 12, 0.17094969749450684
subelj_cora DensePull, serial, boolean-array, false, 12, 0.07034134864807129
sx-mathoverflow DensePull, serial, boolean-array, false, 12, 0.039139509201049805
youtube-groupmemberships DensePull, serial, boolean-array, false, 12, 0.20191526412963867
sx-stackoverflow DensePull, serial, boolean-array, false, 14, 1.9611778259277344
dblp-cite DensePull, serial, boolean-array, false, 14, 0.02901911735534668
dbpedia-team DensePull, serial, boolean-array, false, 14, 0.08196377754211426
dimacs9-E DensePull, serial, boolean-array, false, 14, 155.19291925430298
douban DensePull, serial, boolean-array, false, 14, 0.0625159740447998
facebook-wosn-wall DensePull, serial, boolean-array, false, 14, 0.23816823959350586
github DensePull, serial, boolean-array, false, 14, 0.06103777885437012
komarix-imdb DensePull, serial, boolean-array, false, 14, 0.24157142639160156
moreno_blogs DensePull, serial, boolean-array, false, 14, 0.19521808624267578
opsahl-usairport DensePull, serial, boolean-array, false, 14, 0.03705430030822754
patentcite DensePull, serial, boolean-array, false, 14, 1.8612844944000244
petster-friendships-dog DensePull, serial, boolean-array, false, 14, 0.31156301498413086
roadNet-CA DensePull, serial, boolean-array, false, 14, 0.1852123737335205
subelj_cora DensePull, serial, boolean-array, false, 14, 0.06333589553833008
sx-mathoverflow DensePull, serial, boolean-array, false, 14, 0.044164180755615234
youtube-groupmemberships DensePull, serial, boolean-array, false, 14, 0.20445513725280762
sx-stackoverflow DensePull, serial, boolean-array, false, 16, 1.923356056213379
dblp-cite DensePull, serial, boolean-array, false, 16, 0.03424954414367676
dbpedia-team DensePull, serial, boolean-array, false, 16, 0.0821683406829834
dimacs9-E DensePull, serial, boolean-array, false, 16, 150.99369049072266
douban DensePull, serial, boolean-array, false, 16, 0.0593869686126709
facebook-wosn-wall DensePull, serial, boolean-array, false, 16, 0.047971487045288086
github DensePull, serial, boolean-array, false, 16, 0.1898186206817627
komarix-imdb DensePull, serial, boolean-array, false, 16, 0.4376049041748047
