dblp-cite DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 0.043604135513305664
dbpedia-team DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 0.6021959781646729
dimacs9-E DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 75.39341425895691
douban DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 0.3155853748321533
facebook-wosn-wall DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 0.19649243354797363
github DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 1.2690463066101074
komarix-imdb DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 0.5950407981872559
moreno_blogs DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 0.03632616996765137
opsahl-usairport DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 0.03712916374206543
patentcite DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 2.7935612201690674
petster-friendships-dog DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 1.6336662769317627
roadNet-CA DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 1.5091872215270996
subelj_cora DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 0.06996321678161621
sx-mathoverflow DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 0.1355595588684082
youtube-groupmemberships DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 0, 1.4143762588500977
sx-stackoverflow DensePull-SparsePush, serial, boolean-array, false, 0, 15.076054096221924
dblp-cite DensePull-SparsePush, serial, boolean-array, false, 0, 0.027235984802246094
dbpedia-team DensePull-SparsePush, serial, boolean-array, false, 0, 0.31015777587890625
dimacs9-E DensePull-SparsePush, serial, boolean-array, false, 0, 1.6193063259124756
douban DensePull-SparsePush, serial, boolean-array, false, 0, 0.09213542938232422
facebook-wosn-wall DensePull-SparsePush, serial, boolean-array, false, 0, 0.22046971321105957
github DensePull-SparsePush, serial, boolean-array, false, 0, 0.13719964027404785
komarix-imdb DensePull-SparsePush, serial, boolean-array, false, 0, 0.6361880302429199
moreno_blogs DensePull-SparsePush, serial, boolean-array, false, 0, 0.014032125473022461
opsahl-usairport DensePull-SparsePush, serial, boolean-array, false, 0, 0.01765275001525879
patentcite DensePull-SparsePush, serial, boolean-array, false, 0, 3.2752673625946045
petster-friendships-dog DensePull-SparsePush, serial, boolean-array, false, 0, 1.8805294036865234
roadNet-CA DensePull-SparsePush, serial, boolean-array, false, 0, 0.6526732444763184
subelj_cora DensePull-SparsePush, serial, boolean-array, false, 0, 0.03923153877258301
sx-mathoverflow DensePull-SparsePush, serial, boolean-array, false, 0, 0.14530730247497559
youtube-groupmemberships DensePull-SparsePush, serial, boolean-array, false, 0, 0.08037948608398438
sx-stackoverflow DensePull-SparsePush, serial, bitvector, false, 0, 14.996196269989014
dblp-cite DensePull-SparsePush, serial, bitvector, false, 0, 0.027350425720214844
dbpedia-team DensePull-SparsePush, serial, bitvector, false, 0, 0.30731821060180664
dimacs9-E DensePull-SparsePush, serial, bitvector, false, 0, 2.0994255542755127
douban DensePull-SparsePush, serial, bitvector, false, 0, 0.09518170356750488
facebook-wosn-wall DensePull-SparsePush, serial, bitvector, false, 0, 0.21918129920959473
github DensePull-SparsePush, serial, bitvector, false, 0, 0.13795757293701172
komarix-imdb DensePull-SparsePush, serial, bitvector, false, 0, 0.6361830234527588
moreno_blogs DensePull-SparsePush, serial, bitvector, false, 0, 0.006586313247680664
opsahl-usairport DensePull-SparsePush, serial, bitvector, false, 0, 0.0192105770111084
patentcite DensePull-SparsePush, serial, bitvector, false, 0, 3.2799277305603027
petster-friendships-dog DensePull-SparsePush, serial, bitvector, false, 0, 1.884420394897461
roadNet-CA DensePull-SparsePush, serial, bitvector, false, 0, 0.6518135070800781
subelj_cora DensePull-SparsePush, serial, bitvector, false, 0, 0.03758525848388672
sx-mathoverflow DensePull-SparsePush, serial, bitvector, false, 0, 0.14837408065795898
youtube-groupmemberships DensePull-SparsePush, serial, bitvector, false, 0, 0.07402300834655762
sx-stackoverflow DensePull-SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 10.21129035949707
dblp-cite DensePull-SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 0.04492759704589844
dbpedia-team DensePull-SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 0.3552074432373047
dimacs9-E DensePull-SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 1.9733564853668213
douban DensePull-SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 0.10793113708496094
facebook-wosn-wall DensePull-SparsePush, dynamic-vertex-parallel, boolean-array, false, 0, 0.21416354179382324
