TrainEpoch:  1 , Graph:  ['komarix-imdb'] , Schedule:  3 , TrainLoss:  0.8626238703727722
ValidEpoch:  1 , Graph:  ['komarix-imdb'] , Schedule :  0 , ValidLoss:  0.9888400435447693
TrainEpoch:  1 , Graph:  ['dbpedia-team'] , Schedule:  0 , TrainLoss:  0.9834631085395813
TrainEpoch:  1 , Graph:  ['dbpedia-team'] , Schedule:  1 , TrainLoss:  0.9358249306678772
TrainEpoch:  1 , Graph:  ['dbpedia-team'] , Schedule:  2 , TrainLoss:  0.9854205846786499
TrainEpoch:  1 , Graph:  ['dbpedia-team'] , Schedule:  3 , TrainLoss:  0.947120189666748
ValidEpoch:  1 , Graph:  ['dbpedia-team'] , Schedule :  0 , ValidLoss:  0.990447461605072
TrainEpoch:  1 , Graph:  ['moreno_blogs'] , Schedule:  0 , TrainLoss:  1.0525017976760864
TrainEpoch:  1 , Graph:  ['moreno_blogs'] , Schedule:  1 , TrainLoss:  1.0301059484481812
TrainEpoch:  1 , Graph:  ['moreno_blogs'] , Schedule:  2 , TrainLoss:  1.0649855136871338
TrainEpoch:  1 , Graph:  ['moreno_blogs'] , Schedule:  3 , TrainLoss:  1.1281017065048218
ValidEpoch:  1 , Graph:  ['moreno_blogs'] , Schedule :  0 , ValidLoss:  1.0466798543930054
TrainEpoch:  1 , Graph:  ['opsahl-usairport'] , Schedule:  0 , TrainLoss:  1.0438692569732666
TrainEpoch:  1 , Graph:  ['opsahl-usairport'] , Schedule:  1 , TrainLoss:  1.0241483449935913
TrainEpoch:  1 , Graph:  ['opsahl-usairport'] , Schedule:  2 , TrainLoss:  0.9802857041358948
TrainEpoch:  1 , Graph:  ['opsahl-usairport'] , Schedule:  3 , TrainLoss:  0.9569884538650513
ValidEpoch:  1 , Graph:  ['opsahl-usairport'] , Schedule :  0 , ValidLoss:  0.9716896414756775
TrainEpoch:  1 , Graph:  ['subelj_cora'] , Schedule:  0 , TrainLoss:  0.9458677768707275
TrainEpoch:  1 , Graph:  ['subelj_cora'] , Schedule:  1 , TrainLoss:  0.9910886883735657
TrainEpoch:  1 , Graph:  ['subelj_cora'] , Schedule:  2 , TrainLoss:  0.9855894446372986
TrainEpoch:  1 , Graph:  ['subelj_cora'] , Schedule:  3 , TrainLoss:  1.0117582082748413
ValidEpoch:  1 , Graph:  ['subelj_cora'] , Schedule :  0 , ValidLoss:  0.958246111869812
TrainEpoch:  1 , Graph:  ['dimacs9-E'] , Schedule:  0 , TrainLoss:  0.89491206407547
TrainEpoch:  1 , Graph:  ['dimacs9-E'] , Schedule:  1 , TrainLoss:  0.924918532371521
TrainEpoch:  1 , Graph:  ['dimacs9-E'] , Schedule:  2 , TrainLoss:  0.9162191152572632
TrainEpoch:  1 , Graph:  ['dimacs9-E'] , Schedule:  3 , TrainLoss:  0.8992528915405273
ValidEpoch:  1 , Graph:  ['dimacs9-E'] , Schedule :  0 , ValidLoss:  1.0156378746032715
TrainEpoch:  1 , Graph:  ['dblp-cite'] , Schedule:  0 , TrainLoss:  1.0262377262115479
TrainEpoch:  1 , Graph:  ['dblp-cite'] , Schedule:  1 , TrainLoss:  0.9491075277328491
TrainEpoch:  1 , Graph:  ['dblp-cite'] , Schedule:  2 , TrainLoss:  0.9752519130706787
TrainEpoch:  1 , Graph:  ['dblp-cite'] , Schedule:  3 , TrainLoss:  0.9793045520782471
ValidEpoch:  1 , Graph:  ['dblp-cite'] , Schedule :  0 , ValidLoss:  0.9782142043113708
--- Epoch 1 : Train 0.9733798708766699 Valid 0.9820339158177376 ---
save over.
