TrainEpoch:  2 , Graph:  ['sx-mathoverflow'] , Schedule:  1 , TrainLoss:  0.5998417735099792
TrainEpoch:  2 , Graph:  ['sx-mathoverflow'] , Schedule:  2 , TrainLoss:  0.7418590188026428
TrainEpoch:  2 , Graph:  ['sx-mathoverflow'] , Schedule:  3 , TrainLoss:  1.405588150024414
ValidEpoch:  2 , Graph:  ['sx-mathoverflow'] , Schedule :  0 , ValidLoss:  0.7837070226669312
TrainEpoch:  2 , Graph:  ['opsahl-usairport'] , Schedule:  0 , TrainLoss:  0.5836570262908936
TrainEpoch:  2 , Graph:  ['opsahl-usairport'] , Schedule:  1 , TrainLoss:  0.5109471082687378
TrainEpoch:  2 , Graph:  ['opsahl-usairport'] , Schedule:  2 , TrainLoss:  0.5298414826393127
TrainEpoch:  2 , Graph:  ['opsahl-usairport'] , Schedule:  3 , TrainLoss:  1.0170074701309204
ValidEpoch:  2 , Graph:  ['opsahl-usairport'] , Schedule :  0 , ValidLoss:  0.6132315397262573
TrainEpoch:  2 , Graph:  ['petster-friendships-dog'] , Schedule:  0 , TrainLoss:  0.7931243777275085
TrainEpoch:  2 , Graph:  ['petster-friendships-dog'] , Schedule:  1 , TrainLoss:  0.7992954850196838
TrainEpoch:  2 , Graph:  ['petster-friendships-dog'] , Schedule:  2 , TrainLoss:  0.9370968341827393
TrainEpoch:  2 , Graph:  ['petster-friendships-dog'] , Schedule:  3 , TrainLoss:  0.9398198127746582
ValidEpoch:  2 , Graph:  ['petster-friendships-dog'] , Schedule :  0 , ValidLoss:  0.696965754032135
TrainEpoch:  2 , Graph:  ['dblp-cite'] , Schedule:  0 , TrainLoss:  0.6286268830299377
TrainEpoch:  2 , Graph:  ['dblp-cite'] , Schedule:  1 , TrainLoss:  0.7031639814376831
TrainEpoch:  2 , Graph:  ['dblp-cite'] , Schedule:  2 , TrainLoss:  0.5808261632919312
TrainEpoch:  2 , Graph:  ['dblp-cite'] , Schedule:  3 , TrainLoss:  0.16435305774211884
ValidEpoch:  2 , Graph:  ['dblp-cite'] , Schedule :  0 , ValidLoss:  0.6461736559867859
TrainEpoch:  2 , Graph:  ['facebook-wosn-wall'] , Schedule:  0 , TrainLoss:  1.1436314582824707
TrainEpoch:  2 , Graph:  ['facebook-wosn-wall'] , Schedule:  1 , TrainLoss:  1.0824412107467651
TrainEpoch:  2 , Graph:  ['facebook-wosn-wall'] , Schedule:  2 , TrainLoss:  0.8992666602134705
TrainEpoch:  2 , Graph:  ['facebook-wosn-wall'] , Schedule:  3 , TrainLoss:  0.619641900062561
ValidEpoch:  2 , Graph:  ['facebook-wosn-wall'] , Schedule :  0 , ValidLoss:  0.9952108263969421
TrainEpoch:  2 , Graph:  ['douban'] , Schedule:  0 , TrainLoss:  0.6983552575111389
TrainEpoch:  2 , Graph:  ['douban'] , Schedule:  1 , TrainLoss:  0.6919643878936768
TrainEpoch:  2 , Graph:  ['douban'] , Schedule:  2 , TrainLoss:  0.6545905470848083
TrainEpoch:  2 , Graph:  ['douban'] , Schedule:  3 , TrainLoss:  0.31451767683029175
ValidEpoch:  2 , Graph:  ['douban'] , Schedule :  0 , ValidLoss:  0.644437849521637
TrainEpoch:  2 , Graph:  ['patentcite'] , Schedule:  0 , TrainLoss:  0.7151364684104919
TrainEpoch:  2 , Graph:  ['patentcite'] , Schedule:  1 , TrainLoss:  0.902655303478241
TrainEpoch:  2 , Graph:  ['patentcite'] , Schedule:  2 , TrainLoss:  0.9670563340187073
TrainEpoch:  2 , Graph:  ['patentcite'] , Schedule:  3 , TrainLoss:  1.1480506658554077
ValidEpoch:  2 , Graph:  ['patentcite'] , Schedule :  0 , ValidLoss:  0.793856680393219
TrainEpoch:  2 , Graph:  ['youtube-groupmemberships'] , Schedule:  0 , TrainLoss:  0.5591262578964233
TrainEpoch:  2 , Graph:  ['youtube-groupmemberships'] , Schedule:  1 , TrainLoss:  0.5671715140342712
TrainEpoch:  2 , Graph:  ['youtube-groupmemberships'] , Schedule:  2 , TrainLoss:  0.5757102370262146
TrainEpoch:  2 , Graph:  ['youtube-groupmemberships'] , Schedule:  3 , TrainLoss:  0.16062454879283905
ValidEpoch:  2 , Graph:  ['youtube-groupmemberships'] , Schedule :  0 , ValidLoss:  0.564490795135498
TrainEpoch:  2 , Graph:  ['sx-stackoverflow'] , Schedule:  0 , TrainLoss:  0.8365132212638855
