orkut-links DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, false, 5, 15.414406538009644, 0.78323
roadNet-CA DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, false, 5, 0.34956955909729004, 0.000728
youtube-u-growth SparsePush-DensePull, serial, boolean-array, false, 5, 1.3699865341186523, 0.164582
dblp_coauthor SparsePush-DensePull, serial, boolean-array, false, 5, 4.155551910400391, 0.219509
soc-LiveJournal1 SparsePush-DensePull, serial, boolean-array, false, 5, 10.106454133987427, 0.943068
orkut-links SparsePush-DensePull, serial, boolean-array, false, 5, 15.45415186882019, 0.802812
roadNet-CA SparsePush-DensePull, serial, boolean-array, false, 5, 0.34899091720581055, 0.000674
youtube-u-growth SparsePush-DensePull, serial, bitvector, false, 5, 1.365450382232666, 0.153268
dblp_coauthor SparsePush-DensePull, serial, bitvector, false, 5, 4.160442113876343, 0.211937
soc-LiveJournal1 SparsePush-DensePull, serial, bitvector, false, 5, 10.060352325439453, 0.896168
orkut-links SparsePush-DensePull, serial, bitvector, false, 5, 15.510520458221436, 0.774572
roadNet-CA SparsePush-DensePull, serial, bitvector, false, 5, 0.34925222396850586, 0.000702
youtube-u-growth SparsePush-DensePull, dynamic-vertex-parallel, boolean-array, false, 5, 1.2277195453643799, 0.022522
dblp_coauthor SparsePush-DensePull, dynamic-vertex-parallel, boolean-array, false, 5, 3.980577230453491, 0.039405
soc-LiveJournal1 SparsePush-DensePull, dynamic-vertex-parallel, boolean-array, false, 5, 9.393525838851929, 0.218522
orkut-links SparsePush-DensePull, dynamic-vertex-parallel, boolean-array, false, 5, 14.803746938705444, 0.139115
roadNet-CA SparsePush-DensePull, dynamic-vertex-parallel, boolean-array, false, 5, 0.34908294677734375, 0.000739
youtube-u-growth SparsePush-DensePull, dynamic-vertex-parallel, bitvector, false, 5, 1.234010934829712, 0.02291
dblp_coauthor SparsePush-DensePull, dynamic-vertex-parallel, bitvector, false, 5, 4.133369445800781, 0.038233
soc-LiveJournal1 SparsePush-DensePull, dynamic-vertex-parallel, bitvector, false, 5, 9.352358102798462, 0.181884
orkut-links SparsePush-DensePull, dynamic-vertex-parallel, bitvector, false, 5, 14.799343585968018, 0.136728
roadNet-CA SparsePush-DensePull, dynamic-vertex-parallel, bitvector, false, 5, 0.35100460052490234, 0.000733
youtube-u-growth SparsePush-DensePull, static-vertex-parallel, boolean-array, false, 5, 1.2336204051971436, 0.022366
dblp_coauthor SparsePush-DensePull, static-vertex-parallel, boolean-array, false, 5, 3.9840035438537598, 0.038834
soc-LiveJournal1 SparsePush-DensePull, static-vertex-parallel, boolean-array, false, 5, 9.367723226547241, 0.222213
orkut-links SparsePush-DensePull, static-vertex-parallel, boolean-array, false, 5, 14.762079000473022, 0.141327
roadNet-CA SparsePush-DensePull, static-vertex-parallel, boolean-array, false, 5, 0.34856534004211426, 0.000847
youtube-u-growth SparsePush-DensePull, static-vertex-parallel, bitvector, false, 5, 1.226496696472168, 0.022195
dblp_coauthor SparsePush-DensePull, static-vertex-parallel, bitvector, false, 5, 4.001481533050537, 0.037812
soc-LiveJournal1 SparsePush-DensePull, static-vertex-parallel, bitvector, false, 5, 9.322265148162842, 0.169377
orkut-links SparsePush-DensePull, static-vertex-parallel, bitvector, false, 5, 14.928462505340576, 0.133258
roadNet-CA SparsePush-DensePull, static-vertex-parallel, bitvector, false, 5, 0.35056543350219727, 0.000789
youtube-u-growth SparsePush-DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 5, 1.3854682445526123, 0.177967
dblp_coauthor SparsePush-DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 5, 4.167407274246216, 0.224174
