youtube-u-growth DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 5, 1.2462379932403564, 0.099335
dblp_coauthor DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 5, 4.146117448806763, 0.402799
soc-LiveJournal1 DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 5, 9.853790521621704, 1.12835
orkut-links DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 5, 14.93008017539978, 0.868996
roadNet-CA DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, false, 5, 0.3755643367767334, 0.021511
youtube-u-growth DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 5, 1.2377631664276123, 0.086624
dblp_coauthor DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 5, 4.122684001922607, 0.368765
soc-LiveJournal1 DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 5, 9.766032934188843, 0.986046
orkut-links DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 5, 14.716089487075806, 0.617664
roadNet-CA DensePull, edge-aware-dynamic-vertex-parallel, bitvector, false, 5, 0.3613600730895996, 0.022397
youtube-u-growth DensePull-SparsePush, serial, boolean-array, false, 5, 1.2307002544403076, 0.082923
dblp_coauthor DensePull-SparsePush, serial, boolean-array, false, 5, 3.877145528793335, 0.129326
soc-LiveJournal1 DensePull-SparsePush, serial, boolean-array, false, 5, 9.329870223999023, 0.566413
orkut-links DensePull-SparsePush, serial, boolean-array, false, 5, 14.810128450393677, 0.683732
roadNet-CA DensePull-SparsePush, serial, boolean-array, false, 5, 0.3564739227294922, 0.019628
youtube-u-growth DensePull-SparsePush, serial, bitvector, false, 5, 1.232193946838379, 0.080311
dblp_coauthor DensePull-SparsePush, serial, bitvector, false, 5, 3.87642502784729, 0.13304
soc-LiveJournal1 DensePull-SparsePush, serial, bitvector, false, 5, 9.317084550857544, 0.534243
orkut-links DensePull-SparsePush, serial, bitvector, false, 5, 14.795419216156006, 0.691869
roadNet-CA DensePull-SparsePush, serial, bitvector, false, 5, 0.3584411144256592, 0.02094
youtube-u-growth DensePull-SparsePush, dynamic-vertex-parallel, boolean-array, false, 5, 1.1655070781707764, 0.018879
dblp_coauthor DensePull-SparsePush, dynamic-vertex-parallel, boolean-array, false, 5, 3.77026104927063, 0.036456
soc-LiveJournal1 DensePull-SparsePush, dynamic-vertex-parallel, boolean-array, false, 5, 9.016179084777832, 0.237992
orkut-links DensePull-SparsePush, dynamic-vertex-parallel, boolean-array, false, 5, 14.237303018569946, 0.1664
roadNet-CA DensePull-SparsePush, dynamic-vertex-parallel, boolean-array, false, 5, 0.3449721336364746, 0.00542
youtube-u-growth DensePull-SparsePush, dynamic-vertex-parallel, bitvector, false, 5, 1.1715538501739502, 0.017613
dblp_coauthor DensePull-SparsePush, dynamic-vertex-parallel, bitvector, false, 5, 3.7541937828063965, 0.027447
soc-LiveJournal1 DensePull-SparsePush, dynamic-vertex-parallel, bitvector, false, 5, 8.906413555145264, 0.150093
orkut-links DensePull-SparsePush, dynamic-vertex-parallel, bitvector, false, 5, 14.224156856536865, 0.104267
roadNet-CA DensePull-SparsePush, dynamic-vertex-parallel, bitvector, false, 5, 0.3464014530181885, 0.006261
youtube-u-growth DensePull-SparsePush, static-vertex-parallel, boolean-array, false, 5, 1.1697142124176025, 0.019045
dblp_coauthor DensePull-SparsePush, static-vertex-parallel, boolean-array, false, 5, 3.7760772705078125, 0.035404
soc-LiveJournal1 DensePull-SparsePush, static-vertex-parallel, boolean-array, false, 5, 9.01245379447937, 0.235539
orkut-links DensePull-SparsePush, static-vertex-parallel, boolean-array, false, 5, 14.277995347976685, 0.154409
roadNet-CA DensePull-SparsePush, static-vertex-parallel, boolean-array, false, 5, 0.34598493576049805, 0.005923
youtube-u-growth DensePull-SparsePush, static-vertex-parallel, bitvector, false, 5, 1.174788236618042, 0.019592
dblp_coauthor DensePull-SparsePush, static-vertex-parallel, bitvector, false, 5, 3.7652554512023926, 0.029325
soc-LiveJournal1 DensePull-SparsePush, static-vertex-parallel, bitvector, false, 5, 8.933598041534424, 0.141384
orkut-links DensePull-SparsePush, static-vertex-parallel, bitvector, false, 5, 14.215853929519653, 0.107756
roadNet-CA DensePull-SparsePush, static-vertex-parallel, bitvector, false, 5, 0.34731340408325195, 0.006114
youtube-u-growth DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, false, 5, 1.2483758926391602, 0.096152
dblp_coauthor DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, false, 5, 3.8713905811309814, 0.134436
soc-LiveJournal1 DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, false, 5, 9.31979250907898, 0.549709
orkut-links DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, false, 5, 14.705688953399658, 0.716191
roadNet-CA DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, boolean-array, false, 5, 0.36211085319519043, 0.022964
youtube-u-growth DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, false, 5, 1.2410163879394531, 0.087071
dblp_coauthor DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, false, 5, 3.88407564163208, 0.135321
soc-LiveJournal1 DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, false, 5, 9.342637300491333, 0.549378
orkut-links DensePull-SparsePush, edge-aware-dynamic-vertex-parallel, bitvector, false, 5, 14.767210960388184, 0.767909
