dblp_coauthor DISABLED, VERTEX_BASED, None, 0, PUSH, DISABLED, FUSED, None, 0.6152000427246094, 0.027289
soc-LiveJournal1 DISABLED, VERTEX_BASED, None, 0, PUSH, DISABLED, FUSED, None, 2.985180616378784, 0.218938
orkut-links DISABLED, VERTEX_BASED, None, 0, PUSH, DISABLED, FUSED, None, 4.82450008392334, 0.350436
roadNet-CA DISABLED, VERTEX_BASED, None, 0, PUSH, DISABLED, FUSED, None, 0.26512575149536133, 0.003778
youtube-u-growth ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BITMAP, 1.3443882465362549, 0.045827
dblp_coauthor ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BITMAP, 1.8966245651245117, 0.016817
soc-LiveJournal1 ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BITMAP, 9.241356372833252, 0.102597
orkut-links ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BITMAP, 16.19170904159546, 0.116933
roadNet-CA ENABLED, WM, None, 0, PULL, DISABLED, FUSED, BITMAP, 0.30989646911621094, 0.003668
youtube-u-growth DISABLED, TWCE, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BITMAP, 1.0608718395233154, 0.018271
dblp_coauthor DISABLED, TWCE, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BITMAP, 1.9022655487060547, 0.018786
soc-LiveJournal1 DISABLED, TWCE, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BITMAP, 8.636148452758789, 0.081202
orkut-links DISABLED, TWCE, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BITMAP, 16.16026735305786, 0.110616
roadNet-CA DISABLED, TWCE, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BITMAP, 0.35143375396728516, 0.007197
youtube-u-growth DISABLED, WM, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BITMAP, 1.372363805770874, 0.045764
dblp_coauthor DISABLED, WM, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BITMAP, 2.1218721866607666, 0.016823
soc-LiveJournal1 DISABLED, WM, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BITMAP, 10.659765481948853, 0.102564
orkut-links DISABLED, WM, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BITMAP, 18.32454228401184, 0.117045
roadNet-CA DISABLED, WM, None, 0, PULL, ENABLED, UNFUSED_BITMAP, BITMAP, 0.32216334342956543, 0.003669
youtube-u-growth ENABLED, WM, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.8630471229553223, 0.059508
dblp_coauthor ENABLED, WM, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.5629503726959229, 0.023826
soc-LiveJournal1 ENABLED, WM, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 2.433629274368286, 0.163801
orkut-links ENABLED, WM, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 3.468818187713623, 0.219177
roadNet-CA ENABLED, WM, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.25449109077453613, 0.003671
youtube-u-growth DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, FUSED, BITMAP, 4.278588056564331, 0.336892
dblp_coauthor DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, FUSED, BITMAP, 2.049471855163574, 0.03106
soc-LiveJournal1 DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, FUSED, BITMAP, 10.07009220123291, 0.197503
orkut-links DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, FUSED, BITMAP, 16.970762491226196, 0.185297
roadNet-CA DISABLED, VERTEX_BASED, None, 0, PULL, DISABLED, FUSED, BITMAP, 0.31798839569091797, 0.003562
youtube-u-growth DISABLED, CM, None, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 0.5745351314544678, 0.031369
dblp_coauthor DISABLED, CM, None, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 0.5260381698608398, 0.020462
soc-LiveJournal1 DISABLED, CM, None, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 2.2890498638153076, 0.14881
orkut-links DISABLED, CM, None, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 3.340052366256714, 0.205123
roadNet-CA DISABLED, CM, None, 0, PUSH, ENABLED, UNFUSED_BITMAP, None, 0.26340675354003906, 0.003889
youtube-u-growth DISABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 2.137906312942505, 0.187285
dblp_coauthor DISABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.6129283905029297, 0.027156
soc-LiveJournal1 DISABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 3.010789632797241, 0.218633
orkut-links DISABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 4.805964708328247, 0.350426
roadNet-CA DISABLED, VERTEX_BASED, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.25475597381591797, 0.003771
youtube-u-growth ENABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BOOLMAP, 1.141860008239746, 0.014205
dblp_coauthor ENABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BOOLMAP, 1.9183995723724365, 0.015553
soc-LiveJournal1 ENABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BOOLMAP, 8.73142957687378, 0.073738
orkut-links ENABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BOOLMAP, 16.760855197906494, 0.111535
roadNet-CA ENABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BOOLMAP, 0.3252136707305908, 0.003967
youtube-u-growth ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BOOLMAP, 1.3592541217803955, 0.045851
dblp_coauthor ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BOOLMAP, 1.9150164127349854, 0.016848
soc-LiveJournal1 ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BOOLMAP, 9.851914644241333, 0.102758
orkut-links ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BOOLMAP, 18.213136434555054, 0.116944
roadNet-CA ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BOOLMAP, 0.3096466064453125, 0.003673
youtube-u-growth ENABLED, WM, None, 0, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.8672745227813721, 0.05952
dblp_coauthor ENABLED, WM, None, 0, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.5621168613433838, 0.023814
soc-LiveJournal1 ENABLED, WM, None, 0, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 2.431737184524536, 0.163838
