soc-LiveJournal1 ENABLED, CM, None, 0, PULL, ENABLED, UNFUSED_BOOLMAP, BOOLMAP, 9.746258735656738, 0.027152
orkut-links ENABLED, CM, None, 0, PULL, ENABLED, UNFUSED_BOOLMAP, BOOLMAP, 15.726418018341064, 0.004307
roadNet-CA ENABLED, CM, None, 0, PULL, ENABLED, UNFUSED_BOOLMAP, BOOLMAP, 0.2911183834075928, 0.000255
youtube-u-growth DISABLED, TWC, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.327101469039917, 0.003432
dblp_coauthor DISABLED, TWC, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.36115598678588867, 0.002566
soc-LiveJournal1 DISABLED, TWC, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.8852641582489014, 0.00675
orkut-links DISABLED, TWC, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 1.2718355655670166, 0.005658
roadNet-CA DISABLED, TWC, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.23270535469055176, 0.002271
youtube-u-growth ENABLED, CM, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.32671189308166504, 0.003807
dblp_coauthor ENABLED, CM, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.40595221519470215, 0.002855
soc-LiveJournal1 ENABLED, CM, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.8925144672393799, 0.007102
orkut-links ENABLED, CM, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 1.348595380783081, 0.007131
roadNet-CA ENABLED, CM, None, 0, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.2243809700012207, 0.001405
youtube-u-growth DISABLED, WM, None, 0, PUSH, ENABLED, FUSED, None, 0.4079313278198242, 0.010676
dblp_coauthor DISABLED, WM, None, 0, PUSH, ENABLED, FUSED, None, 0.3764486312866211, 0.003623
soc-LiveJournal1 DISABLED, WM, None, 0, PUSH, ENABLED, FUSED, None, 0.9430882930755615, 0.008988
