DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, dynamic-parallel, 16, 0.12448382377624512
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, dynamic-parallel, 17, 0.9007010459899902
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, dynamic-parallel, 18, 0.9640846252441406
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, dynamic-parallel, 19, 0.9737670421600342
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, dynamic-parallel, 20, 0.971386194229126
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, dynamic-parallel, 21, 0.8787739276885986
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, dynamic-parallel, 22, 0.7034456729888916
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, dynamic-parallel, 23, 0.9547042846679688
DensePull, edge-aware-dynamic-vertex-parallel, bitvector, eager_priority_update_with_merge, dynamic-parallel, 24, 0.8802638053894043
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update, false, 1, 0.7659361362457275
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update, static-parallel, 1, 0.7544162273406982
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update, static-parallel, 1, 0.9896409511566162
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update, dynamic-parallel, 1, 0.8501121997833252
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, false, 1, 0.7085604667663574
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, false, 2, 0.7479820251464844
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, false, 3, 0.6851463317871094
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, false, 4, 0.7515654563903809
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, false, 5, 0.7028472423553467
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, false, 6, 0.4072749614715576
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, false, 7, 0.7082986831665039
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, false, 8, 0.7110629081726074
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, false, 9, 0.7494485378265381
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, false, 10, 0.686903715133667
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, false, 11, 0.7719063758850098
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, false, 12, 0.7091484069824219
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, false, 13, 0.7179417610168457
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, false, 14, 0.4788055419921875
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, false, 15, 0.6794188022613525
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, false, 16, 0.7067160606384277
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, false, 17, 0.6990857124328613
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, false, 18, 0.6886188983917236
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, false, 19, 0.032752275466918945
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, false, 20, 0.7242176532745361
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, false, 21, 0.7125518321990967
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, false, 22, 0.7113592624664307
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, false, 23, 0.6895604133605957
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, false, 24, 0.7109789848327637
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, static-parallel, 1, 0.029697895050048828
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, static-parallel, 1, 0.7057352066040039
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 1, 0.692162036895752
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 2, 0.7172544002532959
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 3, 0.7117719650268555
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 4, 0.35262012481689453
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 5, 0.034111738204956055
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 6, 0.732353925704956
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 7, 0.7068688869476318
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 8, 0.03859734535217285
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 9, 0.7050366401672363
DensePull, edge-aware-dynamic-vertex-parallel, boolean-array, eager_priority_update_with_merge, dynamic-parallel, 10, 0.02258610725402832
